F01_1_1#air|air|air
F01_1_1#alpha|alpha|alpha
F01_1_1#a_long_flowing_beard_clings_to_his_chin|a long flowing beard clings to his chin|a long flowing beard clings to his chin
F01_1_1#bat|bat|bat
F01_1_1#beat|beat|beat
F01_1_1#beta|beta|beta
F01_1_1#bit|bit|bit
F01_1_1#born|born|born
F01_1_1#bubble|bubble|bubble
F01_1_1#bug|bug|bug
F01_1_1#but_he_always_answers_banana_oil|but he always answers banana oil|but he always answers banana oil
F01_1_1#car|car|car
F01_1_1#chair|chair|chair
F01_1_1#corn|corn|corn
F01_1_1#dagger|dagger|dagger
F01_1_1#dark|dark|dark
F01_1_1#double|double|double
F01_1_1#down|down|down
F01_1_1#dug|dug|dug
F01_1_1#except_in_the_winter_when_the_ooze_or_snow_or_ice_prevents|except in the winter when the ooze or snow or ice prevents|except in the winter when the ooze or snow or ice prevents
F01_1_1#fair|fair|fair
F01_1_1#farm|farm|farm
F01_1_1#fee|fee|fee
F01_1_1#feed|feed|feed
F01_1_1#feet|feet|feet
F01_1_1#floor|floor|floor
F01_1_1#for|for|for
F01_1_1#form|form|form
F01_1_1#gadget|gadget|gadget
F01_1_1#giving_those_who_observe_him_a_pronounced_feeling_of_the_utmost_respect|giving those who observe him a pronounced feeling of the utmost respect|giving those who observe him a pronounced feeling of the utmost respect
F01_1_1#glow|glow|glow
F01_1_1#go|go|go
F01_1_1#goat|goat|goat
F01_1_1#grandfather_likes_to_be_modern_in_his_language|grandfather likes to be modern in his language|grandfather likes to be modern in his language
F01_1_1#grow|grow|grow
F01_1_1#hair|hair|hair
F01_1_1#he_dresses_himself_in_an_ancient_black_frock_coat|he dresses himself in an ancient black frock coat|he dresses himself in an ancient black frock coat
F01_1_1#he_slowly_takes_a_short_walk_in_the_open_air_each_day|he slowly takes a short walk in the open air each day|he slowly takes a short walk in the open air each day
F01_1_1#horn|horn|horn
F01_1_1#inputimageskitchenjpg|inputimageskitchenjpg|inputimageskitchenjpg
F01_1_1#inputimagesstory_starters_15jpg|inputimagesstory starters 15jpg|inputimagesstory starters 15jpg
F01_1_1#jacket|jacket|jacket
F01_1_1#jagged|jagged|jagged
F01_1_1#knee|knee|knee
F01_1_1#knew|knew|knew
F01_1_1#know|know|know
F01_1_1#lead_as_in_i_will_lead_you|lead as in i will lead you|lead as in i will lead you
F01_1_1#left|left|left
F01_1_1#meat|meat|meat
F01_1_1#no|no|no
F01_1_1#one|one|one
F01_1_1#park|park|park
F01_1_1#pat|pat|pat
F01_1_1#race|race|race
F01_1_1#rage|rage|rage
F01_1_1#raid|raid|raid
F01_1_1#rain|rain|rain
F01_1_1#rake|rake|rake
F01_1_1#range|range|range
F01_1_1#rate|rate|rate
F01_1_1#rave|rave|rave
F01_1_1#read_as_in_i_can_read|read as in i can read|read as in i can read
F01_1_1#right|right|right
F01_1_1#say_ah-p-eee_repeatedly|say ah-p-eee repeatedly|say ah-p-eee repeatedly
F01_1_1#say_ah_for_5_seconds|say ah for 5 seconds|say ah for 5 seconds
F01_1_1#say_eee-p-ah_repeatedly|say eee-p-ah repeatedly|say eee-p-ah repeatedly
F01_1_1#say_eee_in_a_very_high_pitch|say eee in a very high pitch|say eee in a very high pitch
F01_1_1#say_oa_as_in_coat_in_a_very_low_pitch|say oa as in coat in a very low pitch|say oa as in coat in a very low pitch
F01_1_1#say_pah-tah-kah_repeatedly|say pah-tah-kah repeatedly|say pah-tah-kah repeatedly
F01_1_1#share|share|share
F01_1_1#sheet|sheet|sheet
F01_1_1#she_had_your_dark_suit_in_greasy_wash_water_all_year|she had your dark suit in greasy wash water all year|she had your dark suit in greasy wash water all year
F01_1_1#ship|ship|ship
F01_1_1#sip|sip|sip
F01_1_1#slip|slip|slip
F01_1_1#spark|spark|spark
F01_1_1#stick|stick|stick
F01_1_1#sticks|sticks|sticks
F01_1_1#store|store|store
F01_1_1#storm|storm|storm
F01_1_1#stubble|stubble|stubble
F01_1_1#swarm|swarm|swarm
F01_1_1#swore|swore|swore
F01_1_1#tear_as_in_tear_up_that_paper|tear as in tear up that paper|tear as in tear up that paper
F01_1_1#the|the|the
F01_1_1#the_quick_brown_fox_jumps_over_the_lazy_dog|the quick brown fox jumps over the lazy dog|the quick brown fox jumps over the lazy dog
F01_1_1#tip|tip|tip
F01_1_1#torn|torn|torn
F01_1_1#trace|trace|trace
F01_1_1#trade|trade|trade
F01_1_1#train|train|train
F01_1_1#trait|trait|trait
F01_1_1#trouble|trouble|trouble
F01_1_1#twice_each_day_he_plays_skillfully_and_with_zest_upon_our_small_organ|twice each day he plays skillfully and with zest upon our small organ|twice each day he plays skillfully and with zest upon our small organ
F01_1_1#two|two|two
F01_1_1#up|up|up
F01_1_1#usually_minus_several_buttons|usually minus several buttons|usually minus several buttons
F01_1_1#warm|warm|warm
F01_1_1#weed|weed|weed
F01_1_1#well_he_is_nearly_ninety_three_years_old|well he is nearly ninety three years old|well he is nearly ninety three years old
F01_1_1#we_have_often_urged_him_to_walk_more_and_smoke_less|we have often urged him to walk more and smoke less|we have often urged him to walk more and smoke less
F01_1_1#when_he_speaks_his_voice_is_just_a_bit_cracked_and_quivers_a_trifle|when he speaks his voice is just a bit cracked and quivers a trifle|when he speaks his voice is just a bit cracked and quivers a trifle
F01_1_1#yes|yes|yes
F01_1_1#yet_he_still_thinks_as_swiftly_as_ever|yet he still thinks as swiftly as ever|yet he still thinks as swiftly as ever
F01_1_1#you_wished_to_know_all_about_my_grandfather|you wished to know all about my grandfather|you wished to know all about my grandfather
F01_1_2#air|air|air
F01_1_2#beat|beat|beat
F01_1_2#bug|bug|bug
F01_1_2#but_he_always_answers_banana_oil|but he always answers banana oil|but he always answers banana oil
F01_1_2#chair|chair|chair
F01_1_2#feed|feed|feed
F01_1_2#feet|feet|feet
F01_1_2#inputimageskitchenjpg|inputimageskitchenjpg|inputimageskitchenjpg
F01_1_2#knew|knew|knew
F01_1_2#meat|meat|meat
F01_1_2#rave|rave|rave
F01_1_2#read_as_in_i_can_read|read as in i can read|read as in i can read
F01_1_2#say_ah-p-eee_repeatedly|say ah-p-eee repeatedly|say ah-p-eee repeatedly
F01_1_2#say_ah_for_5_seconds|say ah for 5 seconds|say ah for 5 seconds
F01_1_2#sip|sip|sip
F01_1_2#storm|storm|storm
F01_1_2#swarm|swarm|swarm
F01_1_2#the|the|the
F01_1_2#the_quick_brown_fox_jumps_over_the_lazy_dog|the quick brown fox jumps over the lazy dog|the quick brown fox jumps over the lazy dog
F01_1_2#warm|warm|warm
F01_1_2#yet_he_still_thinks_as_swiftly_as_ever|yet he still thinks as swiftly as ever|yet he still thinks as swiftly as ever
F01_1_3#sip|sip|sip
F01_1_3#storm|storm|storm
F01_1_3#yet_he_still_thinks_as_swiftly_as_ever|yet he still thinks as swiftly as ever|yet he still thinks as swiftly as ever
F03_1_1#air|air|air
F03_1_1#all_the_big_baseball_players_get_traded|all the big baseball players get traded|all the big baseball players get traded
F03_1_1#alpha|alpha|alpha
F03_1_1#are_your_grades_higher_or_lower_than_nancys|are your grades higher or lower than nancys|are your grades higher or lower than nancys
F03_1_1#ate|ate|ate
F03_1_1#a_long_flowing_beard_clings_to_his_chin|a long flowing beard clings to his chin|a long flowing beard clings to his chin
F03_1_1#back|back|back
F03_1_1#bad|bad|bad
F03_1_1#bag|bag|bag
F03_1_1#bat|bat|bat
F03_1_1#bear|bear|bear
F03_1_1#beat|beat|beat
F03_1_1#beta|beta|beta
F03_1_1#bit|bit|bit
F03_1_1#boot|boot|boot
F03_1_1#born|born|born
F03_1_1#bubble|bubble|bubble
F03_1_1#bug|bug|bug
F03_1_1#but_he_always_answers_banana_oil|but he always answers banana oil|but he always answers banana oil
F03_1_1#car|car|car
F03_1_1#chair|chair|chair
F03_1_1#corn|corn|corn
F03_1_1#coupe|coupe|coupe
F03_1_1#cycle|cycle|cycle
F03_1_1#dagger|dagger|dagger
F03_1_1#dark|dark|dark
F03_1_1#dont_ask_me_to_carry_an_oily_rag_like_that|dont ask me to carry an oily rag like that|dont ask me to carry an oily rag like that
F03_1_1#dot|dot|dot
F03_1_1#double|double|double
F03_1_1#down|down|down
F03_1_1#dug|dug|dug
F03_1_1#error|error|error
F03_1_1#except_in_the_winter_when_the_ooze_or_snow_or_ice_prevents|except in the winter when the ooze or snow or ice prevents|except in the winter when the ooze or snow or ice prevents
F03_1_1#except_in_the_winter_when_the_ozone_or_snow_or_ice_prevents|except in the winter when the ozone or snow or ice prevents|except in the winter when the ozone or snow or ice prevents
F03_1_1#explore|explore|explore
F03_1_1#fair|fair|fair
F03_1_1#farm|farm|farm
F03_1_1#fate|fate|fate
F03_1_1#fee|fee|fee
F03_1_1#feed|feed|feed
F03_1_1#feet|feet|feet
F03_1_1#floor|floor|floor
F03_1_1#for|for|for
F03_1_1#form|form|form
F03_1_1#fruit|fruit|fruit
F03_1_1#gadget|gadget|gadget
F03_1_1#galore|galore|galore
F03_1_1#giving_those_who_observe_him_a_pronounced_feeling_of_the_utmost_respect|giving those who observe him a pronounced feeling of the utmost respect|giving those who observe him a pronounced feeling of the utmost respect
F03_1_1#gnaw|gnaw|gnaw
F03_1_1#go|go|go
F03_1_1#goat|goat|goat
F03_1_1#grandfather_likes_to_be_modern_in_his_language|grandfather likes to be modern in his language|grandfather likes to be modern in his language
F03_1_1#grow|grow|grow
F03_1_1#hair|hair|hair
F03_1_1#hear|hear|hear
F03_1_1#he_dresses_himself_in_an_ancient_black_frock_coat|he dresses himself in an ancient black frock coat|he dresses himself in an ancient black frock coat
F03_1_1#he_slowly_takes_a_short_walk_in_the_open_air_each_day|he slowly takes a short walk in the open air each day|he slowly takes a short walk in the open air each day
F03_1_1#he_will_allow_a_rare_lie|he will allow a rare lie|he will allow a rare lie
F03_1_1#horn|horn|horn
F03_1_1#inputimageskitchenjpg|inputimageskitchenjpg|inputimageskitchenjpg
F03_1_1#inputimagesstory_starters_15jpg|inputimagesstory starters 15jpg|inputimagesstory starters 15jpg
F03_1_1#i_feel_i_can_play_this_weekend|i feel i can play this weekend|i feel i can play this weekend
F03_1_1#i_just_try_to_do_my_best|i just try to do my best|i just try to do my best
F03_1_1#i_looked_up_and_noticed_two_old_men|i looked up and noticed two old men|i looked up and noticed two old men
F03_1_1#i_scrubbed_the_floors_thoroughly|i scrubbed the floors thoroughly|i scrubbed the floors thoroughly
F03_1_1#i_was_conscious_all_the_time|i was conscious all the time|i was conscious all the time
F03_1_1#jacket|jacket|jacket
F03_1_1#jagged|jagged|jagged
F03_1_1#jane_may_earn_more_money_by_working_hard|jane may earn more money by working hard|jane may earn more money by working hard
F03_1_1#just_one_side_got_wet|just one side got wet|just one side got wet
F03_1_1#knee|knee|knee
F03_1_1#knew|knew|knew
F03_1_1#know|know|know
F03_1_1#lead_as_in_i_will_lead_you|lead as in i will lead you|lead as in i will lead you
F03_1_1#left|left|left
F03_1_1#light|light|light
F03_1_1#lip|lip|lip
F03_1_1#meat|meat|meat
F03_1_1#menu|menu|menu
F03_1_1#mere|mere|mere
F03_1_1#mut|mut|mut
F03_1_1#my_sister_made_the_flowered_curtains|my sister made the flowered curtains|my sister made the flowered curtains
F03_1_1#no|no|no
F03_1_1#nothing_is_as_offensive_as_innocence|nothing is as offensive as innocence|nothing is as offensive as innocence
F03_1_1#of|of|of
F03_1_1#one|one|one
F03_1_1#one_validated_acts_of_school_districts|one validated acts of school districts|one validated acts of school districts
F03_1_1#pad|pad|pad
F03_1_1#park|park|park
F03_1_1#pat|pat|pat
F03_1_1#pile|pile|pile
F03_1_1#prior|prior|prior
F03_1_1#race|race|race
F03_1_1#rage|rage|rage
F03_1_1#raid|raid|raid
F03_1_1#rain|rain|rain
F03_1_1#rake|rake|rake
F03_1_1#range|range|range
F03_1_1#rate|rate|rate
F03_1_1#rave|rave|rave
F03_1_1#read_as_in_i_can_read|read as in i can read|read as in i can read
F03_1_1#right|right|right
F03_1_1#rocks|rocks|rocks
F03_1_1#say_ah-p-eee_repeatedly|say ah-p-eee repeatedly|say ah-p-eee repeatedly
F03_1_1#say_ah_for_5_seconds|say ah for 5 seconds|say ah for 5 seconds
F03_1_1#say_eee-p-ah_repeatedly|say eee-p-ah repeatedly|say eee-p-ah repeatedly
F03_1_1#say_eee_in_a_very_high_pitch|say eee in a very high pitch|say eee in a very high pitch
F03_1_1#say_oa_as_in_coat_in_a_very_low_pitch|say oa as in coat in a very low pitch|say oa as in coat in a very low pitch
F03_1_1#say_pah-tah-kah_repeatedly|say pah-tah-kah repeatedly|say pah-tah-kah repeatedly
F03_1_1#select|select|select
F03_1_1#share|share|share
F03_1_1#shear|shear|shear
F03_1_1#sheet|sheet|sheet
F03_1_1#she_had_your_dark_suit_in_greasy_wash_water_all_year|she had your dark suit in greasy wash water all year|she had your dark suit in greasy wash water all year
F03_1_1#she_is_thinner_than_i_am|she is thinner than i am|she is thinner than i am
F03_1_1#ship|ship|ship
F03_1_1#shoot|shoot|shoot
F03_1_1#sigh|sigh|sigh
F03_1_1#sip|sip|sip
F03_1_1#sleep|sleep|sleep
F03_1_1#slip|slip|slip
F03_1_1#spark|spark|spark
F03_1_1#steer|steer|steer
F03_1_1#stick|stick|stick
F03_1_1#sticks|sticks|sticks
F03_1_1#store|store|store
F03_1_1#storm|storm|storm
F03_1_1#stubble|stubble|stubble
F03_1_1#suit|suit|suit
F03_1_1#swarm|swarm|swarm
F03_1_1#sway|sway|sway
F03_1_1#swore|swore|swore
F03_1_1#tear_as_in_tear_in_my_eye|tear as in tear in my eye|tear as in tear in my eye
F03_1_1#tear_as_in_tear_up_that_paper|tear as in tear up that paper|tear as in tear up that paper
F03_1_1#the|the|the
F03_1_1#their_house_is_grey_and_white|their house is grey and white|their house is grey and white
F03_1_1#they_carried_me_off_on_the_stretcher|they carried me off on the stretcher|they carried me off on the stretcher
F03_1_1#the_humidity_is_overwhelming_there|the humidity is overwhelming there|the humidity is overwhelming there
F03_1_1#the_quick_brown_fox_jumps_over_the_lazy_dog|the quick brown fox jumps over the lazy dog|the quick brown fox jumps over the lazy dog
F03_1_1#the_train_approached_the_depot_slowly|the train approached the depot slowly|the train approached the depot slowly
F03_1_1#this_was_easy_for_us|this was easy for us|this was easy for us
F03_1_1#tie|tie|tie
F03_1_1#tile|tile|tile
F03_1_1#tip|tip|tip
F03_1_1#toot|toot|toot
F03_1_1#torn|torn|torn
F03_1_1#trace|trace|trace
F03_1_1#trade|trade|trade
F03_1_1#train|train|train
F03_1_1#trait|trait|trait
F03_1_1#troop|troop|troop
F03_1_1#trouble|trouble|trouble
F03_1_1#twice_each_day_he_plays_skillfully_and_with_zest_upon_our_little_organ|twice each day he plays skillfully and with zest upon our little organ|twice each day he plays skillfully and with zest upon our little organ
F03_1_1#twice_each_day_he_plays_skillfully_and_with_zest_upon_our_small_organ|twice each day he plays skillfully and with zest upon our small organ|twice each day he plays skillfully and with zest upon our small organ
F03_1_1#two|two|two
F03_1_1#up|up|up
F03_1_1#urgent|urgent|urgent
F03_1_1#usually_minus_several_buttons|usually minus several buttons|usually minus several buttons
F03_1_1#warm|warm|warm
F03_1_1#weed|weed|weed
F03_1_1#well_he_is_nearly_ninety-three_years_old|well he is nearly ninety-three years old|well he is nearly ninety-three years old
F03_1_1#were|were|were
F03_1_1#we_gathered_shells_on_the_beach|we gathered shells on the beach|we gathered shells on the beach
F03_1_1#we_have_often_urged_him_to_walk_more_and_smoke_less|we have often urged him to walk more and smoke less|we have often urged him to walk more and smoke less
F03_1_1#when_he_speaks_his_voice_is_just_a_bit_cracked_and_quivers_a_trifle|when he speaks his voice is just a bit cracked and quivers a trifle|when he speaks his voice is just a bit cracked and quivers a trifle
F03_1_1#whoop|whoop|whoop
F03_1_1#why_yell_or_worry_over_silly_items|why yell or worry over silly items|why yell or worry over silly items
F03_1_1#wish|wish|wish
F03_1_1#witch|witch|witch
F03_1_1#write|write|write
F03_1_1#yes|yes|yes
F03_1_1#yet_he_still_thinks_as_swiftly_as_ever|yet he still thinks as swiftly as ever|yet he still thinks as swiftly as ever
F03_1_1#youre_used_to_being_on_the_field|youre used to being on the field|youre used to being on the field
F03_1_1#you_wished_to_know_all_about_my_grandfather|you wished to know all about my grandfather|you wished to know all about my grandfather
F03_1_2#air|air|air
F03_1_2#ate|ate|ate
F03_1_2#bad|bad|bad
F03_1_2#bat|bat|bat
F03_1_2#beat|beat|beat
F03_1_2#chair|chair|chair
F03_1_2#feed|feed|feed
F03_1_2#feet|feet|feet
F03_1_2#gnaw|gnaw|gnaw
F03_1_2#knew|knew|knew
F03_1_2#pat|pat|pat
F03_1_2#read_as_in_i_can_read|read as in i can read|read as in i can read
F03_1_2#say_ah_for_5_seconds|say ah for 5 seconds|say ah for 5 seconds
F03_1_2#say_oa_as_in_coat_in_a_very_low_pitch|say oa as in coat in a very low pitch|say oa as in coat in a very low pitch
F03_1_2#sigh|sigh|sigh
F03_1_2#sip|sip|sip
F03_1_2#storm|storm|storm
F03_1_2#stubble|stubble|stubble
F03_1_2#suit|suit|suit
F03_1_2#swarm|swarm|swarm
F03_1_2#warm|warm|warm
F03_1_2#yes|yes|yes
F03_1_3#air|air|air
F03_1_3#knew|knew|knew
F03_1_3#sigh|sigh|sigh
F03_1_3#sip|sip|sip
F03_2_1#alimony_harms_a_divorced_mans_wealth|alimony harms a divorced mans wealth|alimony harms a divorced mans wealth
F03_2_1#and|and|and
F03_2_1#a_roll_of_wire_lay_near_the_wall|a roll of wire lay near the wall|a roll of wire lay near the wall
F03_2_1#barn|barn|barn
F03_2_1#before_thursdays_exam_review_every_formula|before thursdays exam review every formula|before thursdays exam review every formula
F03_2_1#bit|bit|bit
F03_2_1#blow|blow|blow
F03_2_1#both_figures_would_go_higher_in_later_years|both figures would go higher in later years|both figures would go higher in later years
F03_2_1#both_injuries_were_to_the_same_leg|both injuries were to the same leg|both injuries were to the same leg
F03_2_1#brawn|brawn|brawn
F03_2_1#briar|briar|briar
F03_2_1#bright_sunshine_shimmers_on_the_ocean_|bright sunshine shimmers on the ocean |bright sunshine shimmers on the ocean 
F03_2_1#carl_lives_in_a_lively_home_|carl lives in a lively home |carl lives in a lively home 
F03_2_1#cart|cart|cart
F03_2_1#charlie|charlie|charlie
F03_2_1#cheer|cheer|cheer
F03_2_1#city|city|city
F03_2_1#dark|dark|dark
F03_2_1#day_after_day_some_new_episode_is_reported|day after day some new episode is reported|day after day some new episode is reported
F03_2_1#deer|deer|deer
F03_2_1#delta|delta|delta
F03_2_1#droop|droop|droop
F03_2_1#echo|echo|echo
F03_2_1#eight|eight|eight
F03_2_1#everything_went_real_smooth_the_sheriff_said_|everything went real smooth the sheriff said |everything went real smooth the sheriff said 
F03_2_1#fat|fat|fat
F03_2_1#fear|fear|fear
F03_2_1#fill|fill|fill
F03_2_1#fitting|fitting|fitting
F03_2_1#five|five|five
F03_2_1#floor|floor|floor
F03_2_1#forward|forward|forward
F03_2_1#four|four|four
F03_2_1#foxtrot|foxtrot|foxtrot
F03_2_1#golf|golf|golf
F03_2_1#group|group|group
F03_2_1#hark|hark|hark
F03_2_1#harp|harp|harp
F03_2_1#hate|hate|hate
F03_2_1#hem|hem|hem
F03_2_1#here|here|here
F03_2_1#him|him|him
F03_2_1#hitting|hitting|hitting
F03_2_1#hum|hum|hum
F03_2_1#if_you_are_losing_water_replace_it_immediately|if you are losing water replace it immediately|if you are losing water replace it immediately
F03_2_1#if_you_destroy_confidence_in_banks_you_do_something_to_the_economy_he_said|if you destroy confidence in banks you do something to the economy he said|if you destroy confidence in banks you do something to the economy he said
F03_2_1#inputimagesstory_starters_16jpg|inputimagesstory starters 16jpg|inputimagesstory starters 16jpg
